Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9889179104477615), 'Normal Variance': np.float64(1064.5139443514704), 'Normal Steady State Time': 10.0}",0.13,0.7,0.6625,0.55,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.425820895522388), 'Stressed Variance': np.float64(176.32143775896634), 'Stressed Steady State Time': 10.0}",0.13,0.8,0.6375,0.5375,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.097985074626866), 'Normal Variance': np.float64(1220.717712357986), 'Normal Steady State Time': 10.0}",0.13,0.8,0.6375,0.5375,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2302.2057947810285), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2127238805970149), 'Stressed Variance': np.float64(130.55135302823567), 'Stressed Steady State Time': 10.0}",0.13,0.775,0.7625,0.675,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.885597014925374), 'Normal Variance': np.float64(1159.5979567331253), 'Normal Steady State Time': 10.0}",0.13,0.775,0.7625,0.675,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.437723880597015), 'Stressed Variance': np.float64(190.77149481928046), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7125,0.7,0.5,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.138134328358209), 'Normal Variance': np.float64(1120.4025606983737), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7125,0.7,0.5,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4065671641791044), 'Stressed Variance': np.float64(205.4128374693696), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.775,0.6625,0.5375,0.3875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.045373134328358), 'Normal Variance': np.float64(1090.7649562040542), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.775,0.6625,0.5375,0.3875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2636940298507462), 'Stressed Variance': np.float64(153.55535351832256), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7,0.6375,0.4625,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.121194029850746), 'Normal Variance': np.float64(1234.4327746936956), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7,0.6375,0.4625,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.232537313432836), 'Stressed Variance': np.float64(140.79040400980173), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7875,0.6625,0.5375,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.791007462686567), 'Normal Variance': np.float64(1120.9795683880038), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7875,0.6625,0.5375,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3553731343283582), 'Stressed Variance': np.float64(152.99818754733795), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7375,0.6125,0.5875,0.5875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.864626865671641), 'Normal Variance': np.float64(997.1666741145021), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7375,0.6125,0.5875,0.5875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3845522388059701), 'Stressed Variance': np.float64(200.197418083092), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7625,0.7375,0.625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.012723880597015), 'Normal Variance': np.float64(1081.4435321327132), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7625,0.7375,0.625,0.4875
