Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.570168067226891, 'Stressed Variance': 310.4832277028459, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9,0.5,0.875,0.4875,0.6875,0.45,0.975,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.77327731092437, 'Stressed Variance': 329.3148993432667, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.8875,0.5625,0.875,0.5625,0.675,0.45,0.9625,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.764201680672269, 'Stressed Variance': 330.3328025139467, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.5125,0.875,0.4875,0.5875,0.45,0.9875,0.8875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.867647058823529, 'Stressed Variance': 348.49500370736524, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.925,0.475,0.9125,0.5,0.65,0.45,0.9875,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885336134453782, 'Stressed Variance': 348.3838690046607, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.29999999999999993,0.9,0.55,0.85,0.5375,0.725,0.45,0.9875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.773193277310924, 'Stressed Variance': 356.8436007273498, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.875,0.5625,0.875,0.5875,0.675,0.45,0.9625,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987699586, 'rho': 692.4471575164293, 'd': 0.733199851784972, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706386554621849, 'Stressed Variance': 355.8721945060378, 'Stressed Steady State Time': 13.638846183145073}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.30999999999999994,0.9375,0.525,0.925,0.5,0.6625,0.45,0.975,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.951890756302522, 'Stressed Variance': 376.87386197125915, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.9125,0.5875,0.9125,0.6125,0.6625,0.45,0.9375,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145214, 'rho': 714.9321020924142, 'd': 0.7332503144371929, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.7940756302521, 'Stressed Variance': 376.165620364028, 'Stressed Steady State Time': 13.637907550950743}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.3199999999999999,0.875,0.5625,0.8,0.5,0.675,0.45,0.95,0.9375
