Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.118955223880597, 'Stressed Variance': 1453.1850287591892, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.660783582089552, 'Normal Variance': 1470.0506411770436, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.5375,0.5,0.5625,0.5125,0.525,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.8000746268656718, 'Stressed Variance': 1270.536895516819, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.780261194029851, 'Normal Variance': 1163.5821253049119, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.4875,0.5625,0.525,0.4625,0.5,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.9808955223880598, 'Stressed Variance': 1614.214187257741, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.711156716417911, 'Normal Variance': 1481.299069557529, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.5375,0.625,0.7125,0.55,0.65,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.146567164179104, 'Stressed Variance': 1445.1684434395188, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.764813432835821, 'Normal Variance': 1147.537336532357, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.5125,0.55,0.475,0.525,0.525,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.946865671641791, 'Stressed Variance': 1383.5224752506124, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.70455223880597, 'Normal Variance': 1478.7142031577189, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.575,0.5375,0.6375,0.5,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.9711194029850745, 'Stressed Variance': 1425.0162554633548, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.774216417910448, 'Normal Variance': 1165.048760580029, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.425,0.5125,0.5,0.575,0.4375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.908805970149254, 'Stressed Variance': 1383.1116836489196, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.71294776119403, 'Normal Variance': 1476.3215189226441, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.6,0.6375,0.6875,0.6375,0.625,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6759.99591483029, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.08179104477612, 'Stressed Variance': 1420.1304744040988, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.752649253731343, 'Normal Variance': 1146.3694519366786, 'Normal Steady State Time': 10.0})",1.1199999999999997,0.4875,0.5625,0.5375,0.575,0.5,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.196007462686567, 'Stressed Variance': 1710.1846034626308, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.744962686567164, 'Normal Variance': 1484.5776052224883, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.6125,0.6375,0.6875,0.65,0.625,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.7173880597014923, 'Stressed Variance': 1541.1538618344844, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.791865671641791, 'Normal Variance': 1157.196680101359, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.5375,0.4875,0.55,0.5375,0.5125,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.929365671641791, 'Stressed Variance': 1540.9678839259857, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.704216417910448, 'Normal Variance': 1475.404862818835, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.6875,0.6375,0.7125,0.6375,0.7,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.7265298507462687, 'Stressed Variance': 1525.2373409431389, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.660410447761194, 'Normal Variance': 1135.3198655031745, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.575,0.4875,0.6625,0.5625,0.5875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.339888059701493, 'Stressed Variance': 1727.8819014800067, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.667910447761194, 'Normal Variance': 1471.9343433949655, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.625,0.55,0.6125,0.5625,0.6125,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.738992537313433, 'Stressed Variance': 1531.6790765969592, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.731044776119403, 'Normal Variance': 1149.331842192025, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.5,0.55,0.65,0.6,0.55,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.970373134328358, 'Stressed Variance': 1548.5481520995768, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.629701492537313, 'Normal Variance': 1460.1419834929827, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.625,0.625,0.6375,0.65,0.6875,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.6915298507462686, 'Stressed Variance': 1517.3050327341834, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.722201492537313, 'Normal Variance': 1152.3151787355198, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.5375,0.475,0.5375,0.5,0.525,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.15294776119403, 'Stressed Variance': 1671.6743308629427, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.636529850746268, 'Normal Variance': 1461.7699416894077, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.5625,0.625,0.7125,0.5625,0.6125,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6790.33262331497, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.641865671641791, 'Stressed Variance': 1488.4106950267321, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.661828358208955, 'Normal Variance': 1131.9112742690468, 'Normal Steady State Time': 10.0})",1.1299999999999997,0.5125,0.6,0.625,0.5625,0.6,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.8342164179104476, 'Stressed Variance': 1428.1466575949544, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.684888059701493, 'Normal Variance': 1466.426189539708, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.6875,0.55,0.65,0.4875,0.5625,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.777985074626866, 'Stressed Variance': 2013.9027242982847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.710783582089552, 'Normal Variance': 1146.2013911770437, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.5375,0.5,0.6,0.525,0.5375,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.254179104477612, 'Stressed Variance': 1621.8366616395633, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.647164179104478, 'Normal Variance': 1465.8069994208063, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.4625,0.6,0.55,0.6125,0.5625,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.6009328358208954, 'Stressed Variance': 1232.8601110701159, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.753358208955224, 'Normal Variance': 1141.8237946925822, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.425,0.5375,0.6125,0.425,0.5,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.953955223880597, 'Stressed Variance': 1407.7357903263535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.64839552238806, 'Normal Variance': 1461.5414862316215, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.5125,0.5375,0.6375,0.55,0.6125,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.723544776119403, 'Stressed Variance': 1885.9498784793382, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.763022388059701, 'Normal Variance': 1167.135669969648, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.4875,0.575,0.5875,0.4875,0.6,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.2518283582089555, 'Stressed Variance': 1638.8003511347179, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.727462686567164, 'Normal Variance': 1488.7884846068166, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.6,0.575,0.5875,0.55,0.5125,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.6460074626865673, 'Stressed Variance': 1272.1335325671087, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.818955223880597, 'Normal Variance': 1157.221476520383, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.625,0.525,0.5625,0.575,0.575,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.957089552238806, 'Stressed Variance': 1557.8498004845173, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.674067164179104, 'Normal Variance': 1475.9275364432501, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.5125,0.625,0.7,0.6125,0.575,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6820.53440002973, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.6582089552238806, 'Stressed Variance': 1271.4419102249944, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7786940298507465, 'Normal Variance': 1171.2994191899643, 'Normal Steady State Time': 10.0})",1.1399999999999997,0.4375,0.6375,0.5625,0.5,0.5125,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.222089552238806, 'Stressed Variance': 1645.9272433949657, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.633768656716418, 'Normal Variance': 1460.2042701255848, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.475,0.5625,0.5875,0.6125,0.5875,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.541492537313433, 'Stressed Variance': 1758.4646962797951, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.788955223880597, 'Normal Variance': 1173.1541168188908, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.55,0.5625,0.5125,0.5625,0.625,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.24134328358209, 'Stressed Variance': 1627.8540668523056, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.668022388059701, 'Normal Variance': 1472.6219923577078, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.525,0.575,0.6875,0.5875,0.6125,0.375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.4933582089552235, 'Stressed Variance': 1724.3809260358655, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.728805970149254, 'Normal Variance': 1152.295558275785, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.525,0.6375,0.575,0.625,0.575,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.300746268656717, 'Stressed Variance': 1646.1561934729336, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.610373134328358, 'Normal Variance': 1458.15244463689, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.5,0.525,0.65,0.5625,0.6,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.610820895522388, 'Stressed Variance': 1836.9680172365781, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.790858208955224, 'Normal Variance': 1151.977491054522, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.5375,0.55,0.55,0.5375,0.55,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.271977611940298, 'Stressed Variance': 1619.2460654920362, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.699141791044776, 'Normal Variance': 1478.4039246366117, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.525,0.6,0.6375,0.5875,0.5875,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.599179104477612, 'Stressed Variance': 1756.9417306694145, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7175, 'Normal Variance': 1150.6741862873134, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.575,0.5875,0.6125,0.6125,0.6,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.40955223880597, 'Stressed Variance': 1699.6400281577187, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.700223880597015, 'Normal Variance': 1474.5027462185337, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.5125,0.625,0.5625,0.625,0.6375,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6850.60302956770, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.731492537313433, 'Stressed Variance': 1829.6017843394966, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.734701492537313, 'Normal Variance': 1136.7152137168632, 'Normal Steady State Time': 10.0})",1.1499999999999995,0.5875,0.475,0.5375,0.5,0.5,0.3875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.148320895522388, 'Stressed Variance': 1585.8671427029963, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.685746268656716, 'Normal Variance': 1482.2697520550234, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.525,0.4625,0.6,0.4875,0.5375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.143097014925373, 'Stressed Variance': 1523.3739635428267, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7387313432835825, 'Normal Variance': 1149.7995745099133, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.4625,0.5375,0.525,0.5125,0.55,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.459402985074627, 'Stressed Variance': 1828.1882026286478, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.674328358208955, 'Normal Variance': 1460.5984902205391, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.5875,0.5875,0.6875,0.5125,0.5875,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.177350746268656, 'Stressed Variance': 1547.2501511904097, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.771194029850746, 'Normal Variance': 1147.1125732011583, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.4625,0.475,0.5875,0.5125,0.45,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.291977611940299, 'Stressed Variance': 1641.3677714621851, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.686343283582089, 'Normal Variance': 1464.6440821508136, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.5125,0.4625,0.6,0.525,0.5875,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.071902985074627, 'Stressed Variance': 1504.1265836920807, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.731791044776119, 'Normal Variance': 1162.8276908220093, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.475,0.625,0.5375,0.525,0.4875,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.595186567164179, 'Stressed Variance': 1860.618999218924, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.650783582089552, 'Normal Variance': 1468.2505478934622, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.575,0.5375,0.6,0.575,0.525,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.108358208955224, 'Stressed Variance': 1543.0502734239249, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.702537313432836, 'Normal Variance': 1129.8376353530853, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.425,0.5875,0.525,0.525,0.475,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.22615671641791, 'Stressed Variance': 1650.738293438127, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.602649253731343, 'Normal Variance': 1451.0242392501116, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.6,0.55,0.625,0.55,0.625,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6880.54025752742, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.064589552238806, 'Stressed Variance': 1502.2897461001892, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.7123507462686565, 'Normal Variance': 1144.7390862650368, 'Normal Steady State Time': 10.0})",1.1599999999999995,0.4625,0.575,0.5875,0.5125,0.4875,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6910.34779169536, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.076044776119403, 'Stressed Variance': 1588.167127639786, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.62179104477612, 'Normal Variance': 1463.316286344398, 'Normal Steady State Time': 10.0})",1.1699999999999995,0.4625,0.525,0.6,0.5375,0.5625,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6910.34779169536, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.521791044776119, 'Stressed Variance': 1728.7584803742482, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.753880597014925, 'Normal Variance': 1156.7006938961906, 'Normal Steady State Time': 10.0})",1.1699999999999995,0.5,0.4625,0.5375,0.5,0.5,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6910.34779169536, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 3.8671641791044777, 'Stressed Variance': 1332.4534740476722, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.671194029850747, 'Normal Variance': 1467.0941254399643, 'Normal Steady State Time': 10.0})",1.1699999999999995,0.625,0.5,0.6125,0.575,0.5875,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 6910.34779169536, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 4.5153358208955225, 'Stressed Variance': 1684.221630484239, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.751940298507463, 'Normal Variance': 1159.6477947427043, 'Normal Steady State Time': 10.0})",1.1699999999999995,0.5375,0.5375,0.5,0.525,0.475,0.55
