Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.765151515151516, 'Stressed Variance': 387.2946946740129, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.9,0.5125,0.9375,0.5875,0.6875,0.45,0.5125,0.2625
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986728574, 'rho': 759.9014352152604, 'd': 0.7333424015328854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.896477272727273, 'Stressed Variance': 392.96030577221075, 'Stressed Steady State Time': 13.636195014903373}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.33999999999999986,0.8875,0.5625,0.9125,0.5125,0.6625,0.45,0.4875,0.2375
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.719848484848486, 'Stressed Variance': 400.6847727043159, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.8625,0.6375,0.9,0.5875,0.7,0.45,0.525,0.2625
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.1703230404751506, 'rho': 782.385855546683, 'd': 0.7333845273169819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.60094696969697, 'Stressed Variance': 393.0178400123394, 'Stressed Steady State Time': 13.635411748573503}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.34999999999999987,0.825,0.6,0.875,0.6125,0.675,0.45,0.55,0.3
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.86185606060606, 'Stressed Variance': 410.2570147368572, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8625,0.6,0.9,0.525,0.625,0.45,0.5375,0.2625
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098356373, 'rho': 804.8701299625694, 'd': 0.7334243293968244, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.897272727272727, 'Stressed Variance': 414.2880834710744, 'Stressed Steady State Time': 13.634671770738914}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3599999999999999,0.8375,0.5625,0.9125,0.5,0.6375,0.45,0.5,0.3125
