class_name,label,tf,x,y,representation,method,TF & Condition,TF
Cup9,2,Cup9,1.7138583880716354,-0.05718374572338126,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.3862084509793666,0.01472330032820281,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6196944019103663,0.016773479964943525,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,2.0191255388346403,-0.0310271774230974,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6850263294646373,0.0035186632900706463,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6932019490502566,0.0025784437937654316,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.789626304586319,0.0035021692933357705,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6783785830335811,-0.025367202856719607,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7981020404842827,0.0022594315594045744,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.6198969490958137,-0.03316115340788869,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.552054046572068,-0.030907555574796557,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,1.7431893994050098,-0.03623237374220137,Raw SVM features,PCA,Cup9,Cup9
Cin5,1,Cin5,-2.0175671705912084,0.12052132862560369,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.952194090323983,0.06506394051270174,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.939424662364797,0.030983418620338186,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.3146791301052059,0.1938006203824149,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-2.2728314513186025,0.013823783944103201,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.990665865702842,0.03284356751368891,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-2.325883560706655,0.01684050878459416,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.5616293460818471,0.03343221014901146,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-2.2084716819484504,-0.005510402205934837,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.9181985816675262,0.07015997897991265,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.841543092911333,0.02200900048406401,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.6589761236412486,0.0002002016433630456,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-1.8094341050152105,0.08203627468614552,Raw SVM features,PCA,Cin5,Cin5
Cin5,1,Cin5,-2.2850866378108905,0.062283839176830905,Raw SVM features,PCA,Cin5,Cin5
