sigma_b,mu_target,cv_target,autocorr_target,variance,fano_factor,success,biologically_appropriate,error_type,error_message,rho,sigma_u,d
0.01,10.0,2.0,1.0,400.0,40.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.0,10.0,400.0,40.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.0,100.0,400.0,40.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.5,0.1,625.0,62.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.5,1.0,625.0,62.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.5,10.0,625.0,62.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,2.5,100.0,625.0,62.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,3.0,0.1,900.0,90.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,3.0,1.0,900.0,90.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,3.0,10.0,900.0,90.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,3.0,100.0,900.0,90.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.1,0.1,25.0,0.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.1,1.0,25.0,0.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.1,10.0,25.0,0.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.1,100.0,25.0,0.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.2,0.1,100.0,2.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.2,1.0,100.0,2.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.2,10.0,100.0,2.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.2,100.0,100.0,2.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.30000000000000004,0.1,225.00000000000006,4.500000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.30000000000000004,1.0,225.00000000000006,4.500000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.30000000000000004,10.0,225.00000000000006,4.500000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.30000000000000004,100.0,225.00000000000006,4.500000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.4,0.1,400.0,8.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.4,1.0,400.0,8.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.4,10.0,400.0,8.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.4,100.0,400.0,8.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.5,0.1,625.0,12.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.5,1.0,625.0,12.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.5,10.0,625.0,12.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.5,100.0,625.0,12.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.6,0.1,900.0,18.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.6,1.0,900.0,18.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.6,10.0,900.0,18.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.6,100.0,900.0,18.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.7000000000000001,0.1,1225.0,24.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.7000000000000001,1.0,1225.0,24.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.7000000000000001,10.0,1225.0,24.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.7000000000000001,100.0,1225.0,24.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.8,0.1,1600.0,32.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.8,1.0,1600.0,32.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.8,10.0,1600.0,32.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.8,100.0,1600.0,32.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.9,0.1,2025.0,40.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.9,1.0,2025.0,40.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.9,10.0,2025.0,40.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,0.9,100.0,2025.0,40.5,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.0,0.1,2500.0,50.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.0,1.0,2500.0,50.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.0,10.0,2500.0,50.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.0,100.0,2500.0,50.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.2,0.1,3600.0,72.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.2,1.0,3600.0,72.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.2,10.0,3600.0,72.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.2,100.0,3600.0,72.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.4,0.1,4900.0,98.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.4,1.0,4900.0,98.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.4,10.0,4900.0,98.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.4,100.0,4900.0,98.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.5999999999999999,0.1,6400.0,128.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,50.0,1.5999999999999999,1.0,6400.0,128.0,False,True,value_error,Could not find a valid solution for parameter d,,,
