Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8538207267244431, 'sigma_b': 0.1461792732755568, 'rho': 139.61295556478166, 'd': 0.20408520384312384, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 97.82067010309278, 'Stressed Variance': 9632.028304705604, 'Stressed Steady State Time': 48.999142572269946, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.12,50,6.0,0.8625,0.6125,1.0,0.625,0.85,0.45,0.6125,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8638565967622764, 'sigma_b': 0.13614340323772353, 'rho': 135.78856849228308, 'd': 0.18486717835318134, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.16285714285715, 'Stressed Variance': 9695.518312715856, 'Stressed Steady State Time': 54.092890306874274, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13,50,6.5,0.8625,0.4625,1.0,0.4625,0.875,0.45,0.5,1.0,0.9625,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8725850936403214, 'sigma_b': 0.12741490635967864, 'rho': 132.62877776641596, 'd': 0.16898883299706519, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 98.7153488372093, 'Stressed Variance': 9743.314438831801, 'Stressed Steady State Time': 59.175507769638656, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.13999999999999999,50,6.999999999999999,0.8125,0.6375,0.975,0.5875,0.85,0.45,0.5,1.0,1.0,0.9,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
